P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09837945A0820|20 24|Sop1p
P08710504A0995|20 24|Cat8p
P07563072A0773|20 23|lacZ
P09572990A0630|20 23|hSIE
P10320579A1831|20 23|FliT
P03987818A0440|20 23|AP-A
P10430944A1298|20 23|STAT
P08497280A0266|20 23|SWI4
P10471696A0734|20 23|SAS5
P08978690A0262|20 23|Mec1
P01939906A0233|20 22|MFP
P09341193A0362|20 22|Sp3
P10049357A0608|20 22|Ski
P10976413A0514|20 22|FSH
P00453780A0430|20 22|IgA
P08321203A0840|20 22|Rel
P10472314A0717|20 22|TTP
P11250942A0626|20 22|VDR
P11416012A1982|20 22|PKA
P11238884A0892|20 22|dlg
P10684069A0508|20 22|MIP
P09729481A1177|20 22|Sp1
P10650938T0000|20 21|ER
P09272138A1153|20 21|CR
P11181525T0000|20 21|AR
P09703213A0280|20 21|D1
P09288916T0000|21 82|human intestinal N-benzoyl-L-tyrosyl-p-aminobenzoic acid hydrolase
P09528792A0000|21 51|fibroblast growth factor receptor 2
P10413676A0000|21 49|transmembrane integrin receptor
P01917943A0621a|21 49|sMtCK genomic upstream sequences
P08139577T0000|21 48|yeast transcription factor IIIB
P08097732A0000|21 47|ectoderm-specific Spec2a gene
P07945937A0358|21 45|zebrafish egr1 coding region
P02586513A0622|21 45|1,859-residue ama-1 product
P10195425T0000|21 44|transcription factor MTF-1
P00792847A0000|21 42|antilymphocyte globulin
P00866577A0579|21 41|plasminogen activators
P08090767A0000|21 38|DNA polymerase delta
P01690812A0000|21 37|ribosomal DNA (rDNA
P04328746T0073|21 37|cytochrome oxidase
P08893822A0560|21 35|3.1-kb PWP2H cDNA
P10754312A0798|21 35|mutated proteins
P03771670T0058|21 35|antithrombin III
P10668701A1311|21 34|APOE epsilon4/*
P09490676A0800|21 34|recombinant Myb
P07969135A0913|21 34|Cln2 PEST domain
P07846942A0717|21 33|beta-receptor
P08463284A1531|21 33|p34cdc2 kinase
P08649405T0000|21 33|CD11c promoter
P08196607A0280|21 32|ICL1 promoter
P10821836A0842|21 32|S transcripts
P10762348A0269|21 32|STAT proteins
P10407184A0149|21 31|betaAPP gene
P09557682A0490|21 30|hGli2 alpha
P08683983A0785|21 30|70 D protein
P11283256A0258|21 30|native MRCK
P00589073A0000|21 29|prolactin
P08113736A0309|21 29|CRSV RNA-1
P01447189A1546|21 29|RNK-Met-1
P09468509A0463|21 29|F2771 cDNA
P03682805A0375|21 28|globulin
P06750608A1442|21 28|lts genes
P02209605A0510|21 28|MSAS gene
P01710979T0000|21 27|pp60src
P08615012A0627|21 27|ie1 gene
P06341139A0213|21 27|insulin
P09770415A0139|21 26|THOV NP
P01531214A0885|21 26|RP-170
P09188863A0954|21 26|CDC25B
P02885517T0000|21 25|non-A
P10733591A0533|21 25|Cdc42
P08874631A1133|21 25|HIV-1
P11535832A0586|21 25|HDAC9
P09314537A1600|21 25|EBP50
P10502402A0129|21 25|TRAIL
P10532354A1374|21 25|Anu2p
P07695629A0489|21 24|mrk1
P02209540A1362|21 24|Ets2
P09023378A0959|21 24|CBF1
P09000049A1341|21 24|Sin3
P10954525A1161|21 24|Tax I
P09193077A0000|21 24|LRU1
P09524122A0336|21 24|GPA2
P02680843A0724|21 24|RS 86
P08846775A0110|21 24|Swi6
P07494244A0335|21 23|YY1
P11408338A1686|21 23|PSP
P11274179A0610|21 23|Rac
P09142146A0887|21 23|PAF
P09418871A0620|21 23|DDB
P10694210A0385|21 23|H1R
P02176209A0954|21 23|EFI
P10940557A1687|21 23|CF1
P11123912A0306|21 23|SH2
P01275541A0405|21 23|CPK
P09099683A0000|21 23|DGK
P09670943T0000|21 23|BCR
P09331864A0230|21 22|E2
P10567533A0818|21 22|RT
P10521443A0486|21 22|IR
P02647918A0423|21 22|GH
P02002511A0637|21 22|PB
P09431812A0576|21 22|Hh
P10684304A1242|21 21|U
P01376319T0000|22 68|mouse cation-dependent mannose 6-phosphate receptor
P08914532A0598|22 64|(1-->4)-beta-xylan endohydrolase isoenzyme X-I
P00716366T0001|22 50|alkaline phosphatase isoenzymes
P06685004A0000|22 48|sex-hormone-binding globulin
P07518561A0496|22 48|p72syk protein tyrosine kinase
P07922709T0000|22 47|hematopoietic growth factors
P08300605A0671|22 47|homeodomain-binding element
P09642238A0532|22 47|erythroid-specific enhancer
P09588228A0370|22 46|anticytokeratin 19 antibody
P06296833A0000|22 45|larval cuticle protein gene
P11195338A0494|22 44|dominant mutant Lg3 allele
P08849778A0598|22 42|repA (initiator protein
P10471743A0000|22 41|RNA and/or DNA helicase
P08986812A1214|22 41|delta proAE mutant cDNA
P02147223A1047|22 39|human c-fos promoter
P02102831A1282|22 38|soybean actin genes
P08583846A0807|22 38|beta-2 transferrin
P04544704T0001|22 37|rheumatoid factor
P09225682A0579|22 37|anti-GM1 antibody
P00696858A0000|22 36|porcine secretin
P09162097A0776|22 36|MAdCAM-1 variant
P01732736A1076|22 35|POU-domain gene
P06158844A0000|22 33|CM-Pf complex
P01649318A0734|22 32|CD23 element
P10779352T0000|22 32|E2F3 product
P09917064T0000|22 32|CPEB homolog
P09986796A1761|22 32|C terminal 11
P10987280A0604|22 31|matrilysin
P00989973A0000|22 31|fibrinogen
P02333545A0313|22 31|fibrinogen
P06816442T0001|22 30|myoglobin
P08692885A0663|22 30|NF-kappaB
P09144770A0906|22 30|Type I beta
P09882638A0235|22 29|collagen
P07809128T0000|22 29|E2F1 gene
P06441624A0263|22 29|serum BGP
P01000378T0000|22 29|glucagon
P09572511A0148|22 28|RBI-MAP
P07678695A0604|22 28|Oct-3/4
P08106313A1492|22 26|hrpRS
P10567589A1268|22 26|Pmt3p
P11169113A0555|22 26|p16.7
P09724754A0173|22 26|STATs
P10909973A1508|22 26|GLP-1
P07609037A0775|22 26|Oct-1
P03011793A0582|22 25|rbsD
P11113179A0541|22 25|SRC1
P07916689A1407|22 25|POT1
P11403719A1257|22 25|Gab1
P11121490A0000|22 25|CHOP
P07597488T0000|22 25|G6PD
P09092493A0861|22 25|CyRE
P08877103A0081|22 25|mdr2
P10870043A0621|22 25|GnRH
P11171118A0836|22 25|NF-1
P07450388A0406|22 24|CCK
P07926739A0766|22 24|GL2
P09971776A0838|22 24|CD4
P02547706A0928|22 24|IHC
P11074003A0741|22 24|Shh
P02796988A0735|22 24|Sp1
P08289357A0724|22 24|rep
P08621719A0568|22 24|Cbl
P11423991A1393|22 24|p53
P08746605A0377|22 24|ACE
P08508774A0242|22 24|Lrp
P09931118A1072|22 24|JNK
P11315633A0920|22 24|VPg
P04539552T0001|22 23|SF
P09626662A1076|22 23|TR
P09371698A1254|22 23|SK
P09396823T0000|23 51|Escherichia coli DNA polymerase I
P06244732T0000|23 46|creatine kinase B isoenzyme
P07575438A1409|23 45|helix-loop-helix factors
P09048617A0648|23 44|tyrosine kinase receptor
P02481230A1258|23 42|bovine alpha transgene
P08440720A1404|23 42|full-length PfCPK cDNA
P09666114A0389|23 41|5'-regulatory region
P02824334A0972|23 41|G-protein gene family
P10085605A0239|23 39|alpha-fetoprotein
P09950394A0336|23 39|carboxyhemoglobin
P09311568A0595|23 38|C1YVV NIa protease
P01449183A0795|23 38|beta 2 transferrin
P09445488A0230|23 38|USH1C disease gene
P07945330A0103|23 37|retinoic acid (RA
P09421516A1516|23 37|beta-globin mRNA
P08504933A0000|23 37|POU domain factor
P09596638T0000|23 36|Brassica S locus
P02372496A0782|23 35|angiotensin II
P02033062A1169|23 35|chimeric genes
P00261981A0434|23 34|somatomedin A
P08668124A0744|23 34|TDH3 promoter
P09343222A0415|23 34|CCR5 proteins
P01332964A0247|23 33|RII beta gene
P07818416A0895|23 33|haemoglobin
P01846206A0665|23 33|human CMV dbp
P10625494A1059|23 33|CAAT-region
P08663120T0000|23 33|p70 S6 kinase
P10220275A0694|23 32|Gbetagamma
P03296212A0603|23 32|interferon
P09138492A0806|23 32|tuberculin
P07749461A1022|23 31|sGTH alpha
P01468625A0282|23 31|HIS3 cDNAs
P10332733A0000|23 31|F) protein
P09452421A1042|23 31|GST mSH2-B
P11545594A1556|23 31|Myb domain
P01525153A0359|23 30|d(T2G4T)
P10602507A0652|23 30|cyclin D1
P02775136A1151|23 30|HAPE-S-S
P02307848A0347|23 30|Crry gene
P09427627T0000|23 29|insulin
P11313398A0687|23 29|wt-ITAM
P09099702A0692|23 29|conRTRE
P06346427A0000|23 29|insulin
P06101359T0000|23 29|insulin
P11003652A0961|23 28|Cdc42p
P08794254A2957|23 28|anti-T
P01324385A0329|23 27|HHV-6
P03517388A0763|23 27|CK-MB
P08486705A0181|23 27|eIF-5
P09325273A1240|23 27|UBP41
P02196311A1034|23 27|5 KE X 3
P11112417A1126|23 27|MLSN1
P10347203A0832|23 27|STAT3
P09002672A0439|23 27|mTRF1
P08001792A0284|23 26|git8
P07672821A0763|23 26|FHR2
P10608893A0727|23 26|Hp55
P11058119A0957|23 26|XAB1
P10839547A0978|23 26|CTCF
P09323366A0299|23 26|MLS1
P10488148A1267|23 26|MAPK
P09927193A0107|23 26|PLZF
P08262067A1608|23 26|Cwg2
P07816617A0763|23 26|HAC1
P10557072A1218|23 26|ULK2
P02530413A0195|23 25|ANP
P09153348A0647|23 25|TBG
P08628254A0665|23 25|eb1
P10878398A0542|23 25|Epo
P09891046A0269|23 25|PKR
P09651367T0000|23 25|Ras
P10406465A0589|23 25|VDR
P10435595A0203|23 25|Tax
P04066194A0163|23 24|N1
P01316461A1083|23 24|S2
P02833049A0630|23 24|U3
P01009451A0728|23 24|UB
P06327638A0155|24 80|chloramphenicol-inducible chloramphenicol acetyltransferase
P01851527T0000|24 72|gene encoding Alzheimer beta-amyloid precursor protein
P10647817T0000|24 72|gibbon and monkey platelet and T cell activation antigen 1
P07917016A0581|24 54|zinc finger domain protein sequence
P02344529T0000|24 53|recombinant human erythropoietin
P11042204A0186|24 51|phosphatidylinositol 3-kinase
P09210478A0000|24 48|hypoxia-inducible factor-1
P02157882T0000|24 48|Drosophila melanogaster abl
P09374541T0000|24 46|E2F recognition sequences
P06324089A0453|24 43|GAL7 5' flanking region
P01353478T0000|24 41|IAP retrotransposon
P08781119A0723|24 41|mouse Met-ase-1 gene
P01768648A0853|24 41|LexA fusion proteins
P09446600A0260|24 41|beta-galactosidase
P08632009A1067|24 41|C/EBP family members
P11516890A0236|24 38|cytochrome P-450
P08317092A0304|24 37|150-kDa protein
P11007961A0930|24 37|PR65/A subunits
P02154602A0092|24 37|mouse Mx protein
P11595176T0000|24 37|human SPEC1 gene
P09003001A1593|24 37|E12 bHLH protein
P07829097A0000|24 37|Factor VIII gene
P02806916A0000|24 36|oryzacystatin
P07476701A0654|24 36|IgE antibodies
P09335298A0529|24 35|parCBA operon
P01765386A0305|24 34|DNA sequence
P08325883A0368|24 34|RBP1 protein
P10837126A1004|24 34|pMesogenin1
P03062370A0384|24 34|GCN3 product
P08020962A1226|24 33|V beta locus
P01662807A1182|24 33|TR promoter
P07657705A1181|24 33|K-glypican
P09832511A0269|24 33|Vnd protein
P01694525A0000|24 32|epimerase
P08413260A1437|24 32|Rb protein
P09753774A1642|24 32|35S-1-sst
P11389085A1032|24 32|NF-kappaB
P08918918T0000|24 31|HIV-1 LTR
P10398682A0365|24 31|VP16 core
P08922390A2076|24 31|paxillin
P09358837T0000|24 30|albumin
P09322738A0510|24 30|rpoCHIS
P11327698A0191|24 30|p42MAPK
P09354684A1158|24 30|Sp1 site
P11152451A1580|24 30|SmSmad2
P10224257A0079|24 29|her-1a
P01476376T0000|24 29|urease
P09553143A0729|24 29|SLP-76
P08940132A1120|24 29|fodrin
P06685643A0179|24 29|C1-INH
P01548756A1102|24 28|EHS-1
P09032258A0395|24 28|LFA-3
P02843495A0544|24 28|CSF-1
P09544991A0483|24 28|SHP-2
P03257146A1037|24 28|CSFHU
P10693314A0521|24 28|CK-MB
P09079638A0883|24 28|CXCR2
P01331057A0000|24 28|COX12
P08980536A1196|24 28|G-box
P10196316A0715|24 28|VZV gK
P11470914A0305|24 28|STAT3
P11238405A0817|24 28|tup12
P09832436A0738|24 28|PLP-H
P04164669T0000|24 28|kinin
P09079904A0995|24 27|sodA
P07565797A0116|24 27|CRY1
P07498727A0724|24 27|rev3
P09180687A0096|24 27|SulA
P07748952A1329|24 27|mutL
P09032259A0150|24 27|Rac1
P01448107A0361|24 27|GCN2
P10090146T0000|24 27|AP-2
P01708774A0203|24 27|AP-1
P09973351A1522|24 27|DcuR
P07883167A0157|24 27|UPF1
P07537362A1112|24 26|Shb
P07789275A0325|24 26|E74
P07557276A0526|24 26|ALT
P10485470A0242|24 26|Sp1
P10192638T0000|24 26|MSF
P11360190A0178|24 26|Tax
P08544820T0000|24 26|USP
P10775267A0363|24 24|T
P09653641A0471|24 24|1
P07844155A0327|25 59|receptor-linked tyrosine phosphatases
P07835710T0000|25 56|porcine I kappa B alpha-encoding gene
P07916729T0000|25 53|suppressor of Hairy-wing protein
P10656802A1724|25 51|cathepsin X amino acid sequence
P11669476A0346|25 49|tumor necrosis factor-alpha
P08382303T0000|25 49|bovine papillomavirus type 1
P06816123A0526|25 45|glutathione peroxidase
P01480183A0000|25 44|human lactoferrin gene
P09430661A0796|25 44|mutant EphB1 receptors
P11706668A0000|25 43|Wuchereria bancrofti
P10666222A0330|25 42|murine survivin cDNA
P10764729A1846|25 42|human betaV spectrin
P10448036A0748|25 40|full-length 5 S RNA
P01316903A0296|25 39|RNA polymerase II
P10556595A0391|25 38|mutant recN gene
P08990194A0000|25 38|thyroid hormone
P10801860A0000|25 37|I-type lectins
P09175708A1526|25 37|N-terminal or C
P10749145T0000|25 36|PCPH proteins
P08722011A0103|25 36|GTPase domain
P08065901A0997|25 34|KRAB domain
P07565688T0000|25 34|interferon
P10612773A1210|25 33|S-100beta
P08971835A1057|25 33|alpha-MSH
P09795213A0129|25 32|hTAFII68
P07478514A0237|25 32|rat B-myc
P06382374A0206|25 31|insulin
P09869400A0203|25 31|germins
P11287578A1311|25 30|RANTES
P01316680A0643|25 29|EHV-1
P11318608A1155|25 29|DENTT
P09278445T0000|25 29|RNase
P09763446A1234|25 29|Ypt1p
P11368911T0000|25 29|smg-4
P08537403A0336|25 29|LIMK1
P01334493A0289|25 29|sHGFr
P10544037A0617|25 29|FZD10
P09806546A1270|25 29|RFXAP
P11069897A1112|25 29|BACH1
P11313946T0000|25 29|M-Ras
P08917435A0481|25 29|c-Fos
P01674817A0862|25 29|RNA14
P08458849A0364|25 28|flaN
P11054571A0230|25 28|TEN1
P07704273A0000|25 28|ampD
P08812490A0000|25 28|hKID
P10024882A0541|25 28|cdk7
P08101134A0376|25 28|ACTH
P02489032A0000|25 27|IgL
P08631820A0755|25 27|FPS
P09537378A1227|25 27|bcp
P09673436A0898|25 27|ANP
P08905819A0531|25 27|0-I
P09763470A0000|25 27|DBH
P11007968A0255|25 27|dxr
P08470021A0195|25 27|IgG
P08891337A0614|25 27|E1A
P03346210A0000|25 27|EGF
P08332495A0408|25 27|CAT
P02164604A1574|25 26|E2
P02817724A0075|25 26|T1
P00932738A0116|25 26|BP
P09276882A0479|25 26|CC
P02623038A0632|25 26|FR
P09396722A0185|26 67|chloroplastic ascorbate peroxidase isoenzymes
P01331086T0000|26 62|murine cytochrome c oxidase subunit IV gene
P02324104A0151|26 57|cAMP-dependent phosphotransferase
P09368760A0665|26 55|Drosophila protein kinase DSTPK61
P10556044A0913|26 51|alpha-dystroglycan receptor
P08756332A0000|26 49|small GTP-binding proteins
P03319621A0707|26 47|alpha and beta actin mRNAs
P08413291A1473|26 45|rat TnI-CAT fusion gene
P09259315A0809|26 44|GT-IIC-like enhanson
P00759400T0000|26 44|5-HT releasing factor
P01334428A1102|26 43|src-related peptide
P07745693A0914|26 43|mutant Lb proteinase
P03441587A0000|26 42|rheumatoid factors
P08756636T0000|26 42|yeast Rad51 protein
P09546424A1550|26 42|PDGF beta-receptor
P08614403A0557|26 42|Rev-erbA alpha mRNA
P00066874T0000|26 41|alpha fetoprotein
P02498652A0460|26 40|TSH beta promoter
P11311153T0000|26 40|V Leiden mutation
P08499916A0000|26 40|type VII collagen
P01116466A0185|26 39|thromboplastin
P11517190T0000|26 39|rat ER alpha gene
P08106087A0139|26 38|27 kDa zein gene
P10918596A0000|26 38|p53 C-terminus
P08428907A0653|26 38|OBP transcript
P08702728A1325|26 37|wild-type Shc
P03933784A0420|26 37|CSF prolactin
P08529630A0840|26 37|P protein mRNA
P10385395A0000|26 37|HDL) receptor
P10198061A0339|26 37|beta-catenin
P11763176A0918|26 37|antithrombin
P01617801A0088|26 36|plasma renin
P11298326A0677|26 36|Vkappa genes
P08045431A0894|26 35|rubredoxin
P09999742T0000|26 34|100)-(2 x 1
P09913308T0000|26 34|Ne-like Ti
P01634464A0163|26 34|factor VII
P10381257A0000|26 33|metaxin 1
P07628389A0145|26 33|TNF alpha
P10652324A0177|26 33|collagen
P07565712A0286|26 33|LYS2 gene
P08645219A1377|26 33|S100 beta
P11502758A0869|26 32|ankyrin
P02437792T0000|26 32|amylase
P08925545T0001|26 32|r-HuEPO
P06732946A0281|26 31|fibrin
P11404019A0532|26 31|mGSTM2
P10704853T0000|26 31|Dharma
P10543730A0000|26 31|Srb11p
P10850719A0680|26 31|DJbeta
P10903440A0515|26 31|TSGF-2
P08416977A0892|26 30|CTDK1
P10518561A0885|26 30|BRDG1
P11111051A0051|26 30|Tip60
P01597462A0457|26 30|CDC14
P07959015A0478|26 30|hAMPK
P09671496A0557|26 30|c-Cbl
P09199318A1147|26 30|actin
P02725495A0929|26 30|U2 RNA
P09421508A0696|26 30|TCF11
P10531446A0203|26 30|ErbB3
P08264631A0746|26 29|ADR1
P11238882A0157|26 29|eIF6
P08300625A1352|26 29|slyD
P08522511A1578|26 29|pelA
P02532032A0385|26 29|pANF
P09150728A0596|26 29|HES1
P08344248A0910|26 29|p190
P08550476A0610|26 29|epiF
P07065206A0398|26 29|TXB2
P09380707A0714|26 29|BCL6
P08895579A0583|26 29|MDMX
P09420275A1111|26 29|CBF2
P02046202A0625|26 28|IgA
P09239635A0477|26 28|IgG
P07935370A0000|26 28|CD4
P09303437A0875|26 28|Fp1
P07891720A0818|26 28|C1F
P09932288A0378|26 28|XT3
P05463837T0023|26 28|C-2
P08615025A1214|26 28|Env
P02069873X0000|26 28|vav
P06376227A0217|26 27|PP
P02981840A0907|26 26|d
P09582267A0326|27 55|SINA-homologous (Siah) proteins
P09121774T0000|27 53|polyomavirus middle-T antigen
P09575217A0000|27 53|Janus protein tyrosine kinases
P10425445T0000|27 52|mouse growth hormone receptor
P07854324A0742|27 51|wee1/mik1-deficient mutant
P08187177A0405|27 50|CPY vacuolar sorting signal
P10022921A0608|27 49|Saccharomyces cerevisiae
P02355920A0681|27 48|transcription factor SP1
P08067013T0001|27 47|creatine phosphokinase
P01808136T0000|27 46|coagulation factor XII
P08226798A1124|27 45|HIV envelope proteins
P01328197A0985|27 44|MAP kinase activator
P08833153A0628|27 44|hCHLR gene sequences
P09727046A0000|27 44|DNA-binding protein
P07682842A0294|27 43|fMLF-R transcripts
P03582982A0000|27 43|U4 small nuclear RNA
P10205176A0704|27 43|DNA-binding domain
P07816808A1102|27 42|STR family of genes
P02204623A0000|27 41|insulin receptor
P08183552T0000|27 40|tyrosine kinase
P06203843A0757|27 40|transfer factor
P11226228A0899|27 40|yeast TyrRS gene
P08663392A0215|27 39|human DSG3 gene
P02562787A0637|27 38|cellular NBP"
P09089093A0373|27 38|human CA genes
P09139892A1150|27 38|vfr promoters
P01630455A0448|27 37|NFIL-1 beta A
P08643557A0259|27 37|HOX proteins
P08482539A0913|27 37|cellular RNA
P10772977A0222|27 37|PVX CP mutant
P00637637T0000|27 37|plasma renin
P09668063A0274|27 37|Ets proteins
P10211329A0457|27 37|serum lipase
P08336543A0243|27 36|L1 elements
P09006902A0370|27 36|human MEKK3
P08617800A0150|27 36|erbB-2 gene
P08824798A0761|27 36|LIM domains
P09647233A0336|27 35|HIV-1 gene
P11241215A0566|27 34|sBMPR-IA
P07926789A0960|27 34|lacZ gene
P11312326A0169|27 34|HIV type 1
P01093845A0208|27 33|Delta-9
P09618150A0127|27 33|insulin
P01723962A0165|27 33|amylase
P07798217T0000|27 33|CREB341
P08196624A0593|27 33|ActR-IB
P11160860A0662|27 33|IkappaB
P01766666A0788|27 33|rNFIL-6
P09333018A0000|27 32|IRF)-1
P09117345A0945|27 32|TS2/16
P09362473A1540|27 32|tinman
P01324406A1250|27 32|ATPase
P07983744A0920|27 31|IE110
P09760243A0970|27 31|HNF-4
P11579100T0000|27 31|Stat3
P03167060A0000|27 31|IGFII
P09437001A0769|27 31|Der3p
P09371596T0000|27 31|pre-C
P09528987A1348|27 31|T/EBP
P09110176A0890|27 31|Ube3a
P09544991A0750|27 31|SHP-2
P10642524A0156|27 31|mSTI1
P02674141A1202|27 30|CTSE
P10574992A0901|27 30|p300
P08848052A0733|27 30|Gle1
P02026461A0760|27 30|DRB1
P09468386A0594|27 30|PEA3
P09020856A0560|27 30|TIS1
P07936635A1134|27 30|MO15
P07823951A1100|27 30|EKLF
P08626698A0989|27 30|ERK3
P04214345T0000|27 29|IgG
P11438838A0788|27 29|TAR
P11462004A1500|27 29|Vp1
P09869297A1807|27 29|CE1
P08443339A1374|27 29|GUS
P09367426A1354|27 28|hh
P10970048A0352|27 28|RH
P08891474A0667|27 27|F
P04068774A1292|27 27|F
P10429946A0988|28 66|glutathionine S-transferase fusion protein
P11157763T0000|28 63|human aminoacyl-tRNA synthetase complex
P01911767T0000|28 58|ribulosebisphosphate carboxylase
P09751061A0000|28 56|pituitary-specific factor Pit-1
P08662852A1297|28 51|GRK5 phosphoacceptor sites
P09971790A0856|28 50|endonuclease and helicase
P01551910A0978|28 50|protein-binding sequence
P10413604A0063|28 48|cAMP-dependent kinases
P11384880A0719|28 45|3beta-HSD type 1 gene
P09858745A1350|28 45|catB structural gene
P01917962A0152|28 45|immunoglobulin gene
P07935472A0276|28 44|Ets-1 binding sites
P08244034T0000|28 43|glycoprotein GP63
P08886845A1274|28 43|myogenin promoter
P10518561A0261|28 43|Tec family kinases
P02711601A0601|28 42|acid phosphatase
P09414287A0637|28 42|Sp1 binding sites
P10207049A1001|28 42|Glc7 phosphatase
P07742363A0941|28 42|yeast eIF-2 alpha
P02648396A0565|28 41|human c-jun mRNA
P08626777A0537|28 41|Col2a1 enhancer
P10076007A0656|28 40|casein kinase 2
P11160096A1067|28 40|wild-type fliF
P02030910A0000|28 40|human ETS1 gene
P11384229A1669|28 39|wild-type VP5
P02577867T0000|28 38|oncogene jun
P08668190A1364|28 38|hum1 mutants
P09658769A0058|28 38|IFN alpha-2b
P07929165T0000|28 38|actVI region
P08938420A0862|28 36|LHA2 mRNAs
P01972379T0042|28 36|CPS domain
P09886850A0145|28 36|PPARgamma
P03881260A0000|28 35|gene CP A1
P02081463A0110|28 35|Spec gene
P06096863T0000|28 35|CYC1 gene
P10799879T0000|28 35|human Lnk
P10219091A0246|28 35|gene CTL1
P08585324A0467|28 35|SSC1 gene
P10395283A0960|28 35|activin A
P09545638A1181|28 34|HRMT1L2
P01396592A1113|28 34|SCL gene
P08063836A0904|28 32|c-myc
P10209021A0212|28 32|Gle2p
P08661100A0285|28 32|Cdebp
P08643578A0532|28 32|Cdc42
P11830544A0335|28 32|HER-2
P10852485A0477|28 32|Q gene
P06336045A0261a|28 31|Ft II
P09669641A0425|28 31|PE-1
P08550467A0863|28 31|scrB
P10318918A0824|28 31|NS5A
P07494306A0240|28 31|VP16
P08245456A0501|28 31|IL-5
P07234308A0121|28 31|CHOP
P02269426A0428|28 30|Tat
P01779433A0694|28 30|Alu
P10195697A0456|28 30|CBP
P02485188A0415|28 30|ABC
P09605137A0677|28 30|p65
P03785212A1128|28 30|Alu
P10812294X0000|28 30|SBF
P02473907A1338|28 30|IgE
P09381261A0970|28 30|EPO
P07759094A0634|28 29|CA
P11435517A0396|28 29|CP
P07859739T0000|28 29|Rb
P07500950A0000|29 74|rolC gene of the Agrobacterium rhizogenes Ri-plasmid
P10574982A1075|29 60|upstream stimulatory factor-1 and -2
P10928337A0590|29 58|recombinant human erythropoietin
P08385337A0282|29 56|CCAAT/enhancer binding protein
P10660676A0000|29 56|Transforming Growth Factor beta
P02373686T0000|29 56|chicken progesterone receptors
P11121118T0000|29 55|phosphodiesterase PDE11A gene
P08132541A0000|29 55|T-cell-specific human MAL gene
P08563483A0094|29 54|human chorionic gonadotropin
P02934778A0702|29 54|5-HT2 serotonergic receptors
P11356853A0873|29 54|basic-leucine zipper factors
P11479104A0446|29 52|anti-cardiolipin antibody
P03200844A1211|29 52|nuclear pore glycoproteins
P03038643A1374|29 51|erythroid alpha-spectrin
P02998043A1199|29 49|Punta Toro M gene product
P08323294T0000|29 49|sterol carrier protein x
P01545792A0000|29 46|MLC-2) gene promoter
P08139539A0446|29 46|phospholipase C beta
P07622060A0967|29 44|NADP-dependent ME
P08181755A0989|29 43|pcbAB transcript
P07981246A0112|29 42|pertussis toxin
P07062269A0798|29 42|opioid receptor
P10947840A0762|29 42|18S ribosome RNA
P11687517A1619|29 41|mouse promoter
P09312032A0165|29 39|snoRNA genes
P07949164A0799|29 39|kappa B motif
P02247081A0223|29 38|VPS34 locus
P11027274A1682|29 38|PI 3-kinase
P09917389A1239|29 38|finP305 RNA
P08533472A0777|29 37|ORFs N2417
P10393910A0705|29 37|R2 protein
P10448902A0921|29 36|catalase
P02995967T0000|29 36|c-erbB-2
P09881666A0535|29 36|CREB site
P10191090A0000|29 36|PAX3 gene
P01851862A0273|29 35|env gene
P08224907A0000|29 35|rat EFIA
P10187798A1098|29 35|sentrin
P02162049A0291|29 35|factor Y
P02390989A0745|29 35|GPB gene
P04084607A0663|29 35|T 12-mer
P02761540A0873|29 34|NF-4FA
P11118438A0411|29 34|MdPin1
P09314306A0571|29 34|pl-ALB
P09322872A0745|29 34|TK gene
P01847464A0856|29 33|pFRTK
P11602353A0770|29 33|HFH-2
P10779508A0897|29 33|SRC1a
P10082570A0440|29 33|UBP43
P09705352A0879|29 33|Cdc19
P07836390A1152|29 33|VirD2
P01569584A0672|29 33|6F6.2
P08843419A1290|29 33|OCFRE
P09710591A0981|29 33|c-fos
P07592790A1457|29 32|PEDF
P08039422A0000|29 32|NGFB
P02176822A0000|29 32|MFPK
P11092809A0823|29 32|ERKs
P09388199A0948|29 32|FadR
P08804389A0893|29 32|Ltp4
P08740416A0919|29 32|SEB2
P09819391A1123|29 32|Arfs
P09218436A0443|29 32|Pint
P10413676A1193|29 32|FRNK
P10823961A0664|29 32|p300
P07859777A0000|29 32|rHSA
P06434587A0551|29 31|FSH
P02994253A0482|29 31|NTE
P08248246A0838|29 31|Sp1
P07853524A1944|29 31|Tax
P07863047A0229|29 31|ACE
P06503132A0784|29 30|Hn
P08584026A0115|29 30|P1
P09156883A0294|29 30|HR
P09376626A0737|29 30|T4
P10750020A0843|29 30|ER
P09632785A0000|30 68|U2 small nuclear ribonucleoprotein particle
P08631685A0000|30 67|topa quinone-containing monoamine oxidase
P09671791T0000|30 65|platelet-derived growth factor receptor
P11238586A0000|30 65|class I major histocompatibility complex
P02495745T0000|30 60|tissue-type plasminogen activator
P09317131A1332|30 58|NF kappa B2 nucleoprotein complex
P08040336A0435|30 56|collagen element I (-370/-344)
P09545638A0330b|30 56|yeast hnRNP methyltransferase
P07935415T0000|30 54|diazepam-binding inhibitor
P11139148A0421|30 51|murine homologue of SAF-A
P08945479T0000|30 50|human lymphocyte kinase
P11278440A0095|30 50|S1 transmembrane domain
P10713453A0172|30 50|monoclonal antibody Q18
P08103935T0000|30 49|SRF accessory proteins
P09235998A0788|30 49|alpha and beta subunits
