P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P11920455X1195|46 49|cncr
P10380878A0542|46 49|Bin1
P11276426A0501|46 49|Smc3
P11743360A2491|46 49|IL-6
P11018264A0397|46 49|WASP
P08918456A0455|46 49|AP-2
P09990060A0937|46 49|p300
P08034741A0000|46 49|myr 4
P09990507A0763|46 49|Pop2
P09863624A0629|46 49|CRF1
P01918070A0281|46 48|T3R
P05555149T0001|46 48|S-S
P09393966A0190|46 48|CHB
P08178446A1160|46 48|ras
P08637717A0817|46 48|p21
P10721714A1087|46 48|Sp1
P02355920A0681|46 48|SP1
P09371626A1345|46 48|VP2
P10939785A0540|46 48|ACE
P07916327A0250|46 48|GSC
P09425676A0000|46 48|S-R
P10611228A1388|46 48|p97
P10860846A0480|46 48|AP2
P08199204A0746|46 48|PKC
P08970991A0747|46 48|p53
P02708288A0139|46 47|LC
P07518257A0351|46 47|P1
P09737921T0000|46 46|T
P09201946A0000|47 94|Escherichia coli transcription termination factor rho
P10207092A0924|47 87|double-stranded DNA-activated protein kinase
P08170400T0000|47 80|Escherichia coli transcription factor
P11112700T0000|47 80|microtubule actin crosslinking factor
P07426101A0124|47 76|adipose tissue lipoprotein lipase
P09638485A0111|47 74|leukocyte alkaline phosphatase
P11062274T0000|47 72|tissue plasminogen activator
P11438838A0788|47 71|U6 small nuclear RNA promoter
P09584179A0673|47 70|transcription factor Adf-1
P08183915T0000|47 69|murine p105 NF-kappa B gene
P11486032A1261|47 68|Groucho-related protein
P08816459A0090|47 66|orphan receptor RevErb
P09420234A0654|47 66|Escherichia coli GroEL
P08654946A0475|47 63|Xenopus laevis FGF3
P07749461A0632|47 62|sGTH alpha subunit
P01541556A1040|47 60|mutated protein
P10215850A0754|47 60|human TrxR2 gene
P09620273A0189|47 59|D-type cyclins
P04562038T0001|47 59|thymic hormone
P09653648A0445|47 56|ZNF189 gene
P11324516A0159|47 56|D2 receptor
P09822602A0237|47 56|HIF-1alpha
P09797189A0559|47 56|CCAAT motif
P01477021A0394|47 55|prolactin
P02153243A0965|47 55|int-2 gene
P10508522A1598|47 54|EWS-FLI1
P02217741T0001|47 53|insulin
P10409741A0382|47 53|cdc4-11
P11074210A0623|47 53|insulin
P01130186A0568|47 53|insulin
P01594554A0845|47 53|trypsin
P03110692A0156|47 52|beta 2m
P09524273A0205|47 52|gC1qBP
P09763470A1756|47 52|Phox2a
P09786926A1372|47 52|SREBP2
P07393856A0314|47 52|apo-EE
P01328681A0149|47 51|c-myc
P07935375A1197|47 51|TIS10
P02470955A0101|47 51|CSF AP
P01871971A0836|47 51|NFIII
P10523640A0367|47 51|Stat3
P08300601A0745|47 50|MyoD
P10366503A1506|47 50|gp20
P01832152A0902|47 50|ORF1
P11000250A0200|47 50|TRAF
P01977585A0222|47 50|URA2
P09537361A0149|47 50|cvaA
P10501034A0839|47 50|hmg2
P03127463A1017|47 49|CSF
P10402467T0000|47 49|ERK
P09891046A0554|47 49|PKR
P10380232A0000|47 49|CEA
P07892076A0578|47 49|P-2
P10692433A0000|47 49|G(1
P01329039A0951|47 49|TnI
P11353770A0085|47 48|S3
P09802206A1058|48 93|TEF, encoding translation elongation factor-1 alpha
P01844017A0410|48 81|glucose-6-phosphatase dehydrogenase
P08649425T0000|48 81|mouse immunoglobulin kappa 3' enhancer
P07580058A0000|48 78|tissue-type plasminogen activator
P09820611T0000|48 77|recombinant human erythropoietin
P11053009A0000|48 75|gastric mucosal cyclooxygenase
P10409724A1021|48 75|immediate-early response genes
P08317092A0304|48 71|NTP-binding helicase motif
P08209423T0000|48 70|MDV-1 BamHI-D DNA fragment
P02418701A0000|48 70|carcinoembryonic antigen
P09182707A0254|48 66|focal adhesion kinase
P10198003A1505|48 64|KdgR-binding sites
P09428787A0138|48 64|5'-flanking region
P11302566A1318|48 63|dopamine receptor
P01438287T0000|48 63|recombinant genes
P11580301A1161|48 63|rheumatoid factor
P09920896A1230|48 63|wild type peptides
P11500913A1238|48 62|beta-casein mRNA
P02175908A0805|48 61|Ulysses element
P02713520T0000|48 61|cholinesterase
P10347203A0832|48 59|somatostatin
P06251469A0830|48 59|7-kb IAP units
P01718043A0384|48 58|PMN elastase
P03923976T0001|48 56|factor XII
P08378082A1031|48 56|RB protein
P08970979A1246|48 56|wild-type
P08530107A1003|48 56|histidase
P07565685A0420|48 56|GABP alpha
P08449986A0455|48 55|MMI alpha
P10085140A1004|48 55|TGF-beta
P08125258A0142|48 55|CHOP gene
P09122176A0970|48 55|hMGP gene
P08703010A0905|48 54|E1 E-box
P08824881A0133|48 54|TSC gene
P02483210A0000|48 53|lipase
P07642538A0744|48 53|kinase
P09367676A1115|48 53|Tbxas1
P09626662A1076|48 53|RIP140
P07888629A0344|48 53|MsPRP2
P07509053A0139|48 52|c-Myb
P07730795A0104|48 52|DdRPs
P08529662A0507|48 52|GRP58
P08005438A1185|48 52|spp43
P09199167A0942|48 52|Vti1p
P08132667T0000|48 52|furin
P09045636A0789|48 52|Sam68
P11168588T0000|48 52|Cdc42
P09442080A0856|48 52|SHP-1
P02473693A0174|48 51|HGB F
P08316209A0000|48 51|CYS3
P11513579A0372|48 51|Rac1
P09267306A0381|48 51|apo B
P08124912A0456|48 51|IL-8
P10531334A0525|48 51|S19A
P01970560A1024|48 51|lacZ
P09183406A0637|48 51|Baka
P11350982A0560|48 51|GCN1
P07636962A1883b|48 51|GAL4
P09046384A0403|48 51|CD4+
P07565104A0084|48 51|ToxR
P07514301A0000|48 50|PKR
P09271393A1333|48 50|CBP
P11410110A0190|48 50|O(2
P08910373A0315|48 50|PP1
P03102289A0786|48 50|hCG
P09538258A0200|48 50|Ras
P01909027A0922|48 50|ILF
P09416467A0959|48 50|ACE
P11188971A0000|48 49|PD
P08618433A1720|48 49|FL
P08173532A0000|48 49|S2
P10380890A0619|48 49|IR
P10556595A0391|48 48|G
P09472616A1004|48 48|B
P10218200A0534|49 85|recombinant tissue plasminogen activator
P06327638A0155|49 80|chloramphenicol acetyltransferase
P07592706A1465|49 75|phospholipase/neutral lipase
P09209031A0350|49 71|serine carboxypeptidases
P11224226A0000|49 70|benzodiazepine receptor
P08895522T0000|49 70|human trk proto-oncogene
P08427501A0221|49 69|HA-synthesizing enzyme
P10323863A0852|49 69|recombinant telomerase
P07691885T0000|49 67|proto-oncogene c-kit
P09191052A0850|49 65|Class I Hox proteins
P10562456T0000|49 65|growth hormone gene
P07929411A0087|49 65|Drosophila protein
P10523647A1001|49 64|C/EBP target genes
P01906509A0072|49 64|human nidogen gene
P10946303A0000|49 64|cyclooxygenase-2
P01766876A0000|49 64|mu heavy chain gene
P02656257A0000|49 63|bacteriophage P1
P07758837A1118|49 62|GH receptor gene
P04138224T0095|49 62|gamma-globulin
P01431809T0000|49 62|polyhedrin gene
P07379334A0503|49 62|transfer factor
P01722319A0849|49 61|CHIP28 protein
P11282395A1073|49 61|CDR3 sequences
P10348859A0292|49 61|MerR homodimer
P00342623A0228|49 60|type B antigen
P10524258T0000|49 59|FGFR-1) gene
P08710504A0995|49 58|cat1 mutant
P02686588A0592|49 58|hemoglobin
P03004982A1094|49 58|FeS protein
P11133741A0617|49 57|NF-kappaB
P09863720T0000|49 56|protein S
P09862496A0187|49 56|betaGLU I
P02476664A0563|49 56|human K14
P09596542A0542|49 56|collagen
P08207232A0503|49 55|NF-IL-6
P03544858A0374|49 55|insulin
P10200473A0171|49 55|Usurpin
P09053835A0865|49 55|p53 mRNA
P09669641A0425|49 55|amylase
P09234690A0242|49 54|Ste12p
P09524222A0769|49 53|beta 4
P09372968A0532|49 53|Dlc-1
P01374392A0341|49 53|NHE-1
P05857301T0000|49 53|CC1-4
P07836471A0375|49 53|hNUC I
P07499242A0898|49 53|RAFTK
P07680035A0221|49 52|GnRH
P11038366A1417|49 52|PP2A
P09252406A0511|49 52|Grb2
P09647240A0000|49 52|STAT
P07852400A0519|49 52|Rac2
P09565606A0520|49 52|repY
P06328504A0161|49 51|PGK
P09769910A1700|49 51|TNF
P08421910A0599|49 51|p30
P01383690A1023|49 51|BCR
P10464302A1109b|49 51|neu
P07375864A0431|49 51|MAO
P07589069A1245|49 51|CD6
P00665053A0276|49 50|H1
P08289593A1404|49 50|MK
P02330333A0325|49 50|Ga
P10536369A0662|49 50|TR
P07675445A0463|49 49|p
P03371806A0000|50 81|anti-human seminal acid phosphatase
P07935468T0000|50 78|epidermal growth factor receptor
P09580563A0331|50 76|cytoplasmic dynein heavy chain
P08649393A0000|50 72|Saccharomyces cerevisiae
P08757943A0876|50 72|thymidine kinase promoter
P01563635T0000|50 71|HinfI methyltransferase
P03537686A0099|50 71|supF suppressor tRNA gene
P09733815T0000|50 70|protein tyrosine kinase
P10628748A0746|50 70|SF-1 regulatory element
P10036181A0603|50 69|GPR34 mRNA transcripts
P09225506A0462|50 69|coagulation factors II
P09365431A0314|50 69|acetylcholinesterase
P11012671A0576|50 68|Gadd45gamma promoter
P02884860A0329|50 68|alpha 1 adrenoceptors
P09390183A1027|50 67|NMT peptide antibody
P07874060A0810|50 64|xanthine oxidase
P09804779A0000|50 63|protein kinases
P09169475A0272|50 63|human gp130 gene
P08608447A0806|50 63|TPI transcripts
P08726024A0532|50 62|26-kDa product
P09204566T0000|50 62|fixNOQP operon
P11862350T0000|50 61|NMDA receptor
P09046090T0000|50 60|G4p1 protein
P01727494A0000|50 59|VV proteins
P07862129A1391|50 59|HNF-3 alpha
P11371115A0962|50 59|HBs antigen
P09427544A0000|50 58|EC 4.2.2.2
P11167019A1249|50 58|ATPsynCF6
P10473589A0189|50 58|integrase
P09822825A0141|50 57|BAP3 gene
P10604945A0731|50 57|Sp1 sites
P10915780A1063|50 57|cyclin D1
P01895393A0745|50 57|Sp1 sites
P09572491A1044|50 56|p53 gene
P09920903A1045|50 56|p53 gene
P01347664A1026|50 56|CAD mRNA
P10483124T0000|50 56|CIC5F11
P11403719A1257|50 54|egr-1
P09210478A0000|50 54|HIF-1
P08075421A0621a|50 54|HrpJ2
P08075421A0621b|50 54|HrpJ2
P07760841A0221|50 54|Adr1p
P04757217T0000|50 53|LCAT
P09513759A0716|50 53|iPTH
P09790771A1032|50 53|Gng3
P10652362A0933|50 53|CFTR
P08415643A0555|50 53|RCC1
P08637717A1231|50 53|PCNA
P08626325A0543|50 53|UmuD
P07835273A0411|50 53|EGFR
P10071205A0833|50 53|STA2
P07789809A1246|50 52|Ypt
P08125949A1162|50 52|L12
P09858713A1174|50 52|CiD
P11333268A1521|50 52|Sos
P09148935A0805|50 52|FAK
P08005230A0222|50 52|EPO
P09263010T0000|50 52|sIg
P08438584A0524|50 51|C1
P09792682A0713|50 51|F0
P08955928A0390|50 51|EB
P11042197A0386|50 51|HD
P09936001T0000|50 51|Ga
P00008997A0472|50 50|K
P01963419A0501|50 50|p
P11306101A0000|51 98|hamster liver 3-hydroxy-hexobarbital dehydrogenases
P01720843A1506|51 77|angiotensin converting enzyme
P08444344A0000|51 77|nucleic acid-binding proteins
P11509673A0574|51 76|bacterial P450 AA epoxygenase
P10872831A0000|51 72|erythropoietin receptor
P08922384A0466|51 71|monoclonal 08L antibody
P07574682T0000|51 69|alkaline phosphatase
P09218459A0000|51 69|DNA-binding proteins
P07871891A0227|51 69|ribosomal protein S13
P09058373A0670|51 65|GHR1-279 variant
P09322738A0510|51 65|wild-type allele
P08357834A0285|51 64|human PKC-delta
P09633879A0246|51 63|serum ferritin
P08546707T0000|51 62|NF-kappa Bp65
P10488129T0058|51 62|E2F complexes
P02024488A0506|51 61|CMV promoter
P02146495A0706|51 61|basic region
P09628821A1194|51 60|human genes
P02175433A0575|51 60|mutant gene
P08955071T0000|51 59|human ORC1
P10600171A1432|51 59|3A23SiteA
P09171235A0851|51 58|COUP-TFI
P10201468A0297|51 58|glucagon
P07723247A1161|51 58|IL-1 beta
P10706736A1091|51 57|gp100 Ag
P11890354A0000|51 57|rhIL-11
P10866323A0666|51 57|p21WAF1
P09819377A1209|51 56|snR13F
P07474140A1036|51 56|ICP27 C
P10454557A0975|51 56|ARS320
P10885750A0236|51 56|CREB-2
P08589358A0235|51 55|rhEPO
P11241356T0000|51 55|Smad3
P10407269A0000b|51 55|cdc14
P09773981A0415b|51 55|Stat5
P11505407A0461|51 55|EpCAM
P10090943A1976|51 55|CD79b
P10913172A0442|51 55|Rad24
P01309587A0715|51 55|c-myb
P07770033A0978|51 54|cap3
P08632015A1226|51 54|DREF
P11535532A0189|51 54|IL-2
P08816498A0000|51 54|Rats
P09188094A0934|51 54|Spc1
P07902583A0545|51 54|Swi5
P08816452A0936|51 53|p54
P08836032T0000|51 53|hr1
P01433524A0788|51 53|IE1
P09660823A0934|51 53|Akt
P08945479T0000|51 53|Lck
P09366517A1828|51 53|WT1
P10599727A1567|51 52|TS
P01358880A0251|52 88|human cellular transglutaminase sequence
P09566871T0000|52 85|mitogen-activated protein kinase Fus3
P08389074A1227|52 80|RNA binding and activation domain
P02204621T0000|52 77|tRNA nucleotidyltransferase
P08632015A0879|52 77|DNA polymerase alpha promoter
P09927589T0000|52 77|Caenorhabditis elegans MAB-3
P08395010T0000|52 72|retinoic acid receptors
P09832436T0000|52 72|rat placental prolactin
P11080796A0883|52 71|IKK regulatory protein
P03036817A0213|52 70|NdeI restriction site
P10568744A0728|52 70|alpha-specific genes
P08906139A2935|52 70|alkaline phosphatase
P08647884A0547|52 69|MHC class I molecules
P08139001A1235|52 69|NS1 protein molecule
P10557072A0127|52 68|UNC-51-like kinase
P10196316A0715|52 68|gK deletion mutants
P01762917A0615|52 67|TGEK tetrapeptide
P01545797A0587|52 66|slk1 null mutants
P09683576A0542|52 65|protease domain
P01697683T0000|52 65|cytotactin gene
P08668158A1252|52 65|precursor Rpm1r
P11128925A0000|52 64|interleukin-6
P01830114A1587|52 64|P4 transcripts
P06281786A1222|52 63|histone genes
P07919540A1119|52 63|c-Myc protein
P07871718A1132|52 63|ICP4 promoter
P07701266A0808|52 63|somatostatin
P03216131A0559|52 62|enterotoxin
P09111309A0674|52 61|MAP) kinase
P11495920A0504|52 61|CYP3A4 gene
P00150066A0100|52 59|thrombin
P07622521A0418|52 58|beta ARK
P03073091A0449|52 58|insulin
P02591969A0961|52 58|ADH gene
P10452991A0331|52 58|HLA-DR1
P09130700A0676|52 57|Spc97p
P10392903A0889|52 57|cdc25A
P09032233T0000|52 56|Pit-1
P10223338A2186|52 56|HIV-1
P11222720A1699|52 56|Notch
P09407090T0000|52 56|CLA-1
P07935471A0613|52 56|hHSF1
P09278758A1636|52 55|N1-3
P11445008A0816|52 55|FGFR
P08566756A0752|52 55|SF3a
P11090272A1240|52 55|GAIP
P01316903A0296|52 54|IIA
P08902214A1486|52 54|PRL
P08479742A0985|52 54|p53
P03212929A0000|52 54|IgE
P11278848A1316|52 54|Sp1
P08887643A1167|52 54|Ras
P09482107A0551|52 54|C3G
P11254134A0648|52 54|PTF
P02402678A0463|52 53|ha
P03104248A0322|52 53|G1
P02538656A0172|52 52|M
P09867855T0000|53 105|rabbit beta-galactoside alpha1,2-fucosyltransferase gene
P11145563A0202|53 91|sterol regulatory element-binding proteins
P08397123T0000|53 91|human corticotropin-releasing hormone gene
P10318806A0000|53 87|extracellular signal-regulated kinase
P10395378A1198|53 74|HA envelope glycoprotein
P10692374A1873|53 74|archaeal 20S proteasomes
P09202669A1530|53 74|rat preproinsulin II gene
P08585994A0567|53 72|ost transcription unit
P07964459A0845|53 68|RING finger family
P03395164A0000|53 68|4-amino-methyl-1
P03908493A0246|53 68|immunoperoxidase
P09722508A0953|53 67|Src family kinase
P09586832A0229|53 67|5 -HT1A receptors
P10455183A0530|53 67|Staf zinc fingers
P03037334A0932|53 66|yeast RP39A gene
P06959130A0996|53 65|human factor IX
P07809410A0606|53 65|thyroglobulin
P03417668A1233|53 64|alpha subunit
P07919540A0240|53 64|c-myc protein
P08504932A0123|53 64|GATA proteins
P01375913A0484|53 64|U14 snRNA gene
P02811378A0379|53 63|S100 protein
P07509450A0705|53 61|HSV tk gene
P08798512A1197|53 61|u-PAR gene
P09914518A1217|53 60|COUP-TFI
P08877103A0081|53 60|mdr2 gene
P08634423A0498|53 60|lacZ gene
P02868446A0184|53 59|primase
P11583621A0301|53 59|caspase
P09528792A0000|53 58|FGF-R2
P09216936T0000|53 58|leptin
P07791768A0930|53 57|rap1s
P11413277A1121|53 57|ara-C
P11278563A0917|53 57|Grb14
P11132790A0609|53 57|S-B IV
P07814388A0662|53 57|IGF II
P07851758A0330|53 57|spt14
P02405393T0000|53 56|ETS2
P10491213A0263|53 56|BALP
P03446332A0831|53 56|LHRH
P11179668A0869|53 56|PLTP
P07537362A1112|53 56|Eps8
P08763953A0805|53 56|traC
P10498706A1219|53 56|pelE
P10525413A1408|53 56|CRP2
P09255349A0836|53 56|IRA1
P10319320A1022|53 56|VEGF
P02903500A0278|53 55|neu
P10585480A0265|53 55|Sos
P06795832A0148|53 55|IgM
P11193045A1193|53 55|p73
P08145770A1078|53 55|PKC
P10187798A1098|53 55|TNF
P08838144A0107|53 55|PRL
P10102136A0646|53 55|PSA
P09187637A1199|53 55|OP1
P01978857A0504|53 55|CD4
P10090535A1194|53 54|Lp
P08555446A0000|54 83|Escherichia coli pyrophosphatase
P07933076A0211|54 80|viral latent membrane proteins
P03015953T0000|54 80|mouse glucocorticoid receptor
P02474110A1039|54 80|angiotensin converting enzyme
P06895559A0000|54 79|phosphodiesterase inhibitor
P08298129T0000|54 75|human beta 3 integrin gene
P01845829A0158|54 75|protein-binding domains
P07959952A1446|54 74|mouse mast cell chymases
P07948921A0051|54 73|stilbene synthase cDNA
P07629150A0155|54 72|adrenocorticotropin
P03002501A1327|54 72|alpha s1-casein mRNAs
P08510924A0490|54 71|human HSP70 promoter
P02906027A0553|54 70|5'-terminal region
P08922344A1539|54 68|xanthine oxidase
P09353247A0922|54 67|mutant p65cdc18
P09813203T0000|54 67|HIV-1 gp120 IIIB
P10805739A0343|54 66|eIF2B subunits
P11356716A0372|54 66|GHS-R variants
P02686985A0811|54 65|PCF1 mutation
P11278594A0618|54 64|murine MIC-1
P10725433A0543|54 63|Wp reporter
P08206867A0874|54 63|COXVb genes
P02744490A0894|54 63|S1 nuclease
P09311835A0147|54 62|T antigens
P08390747A0586|54 62|syn gB gene
P07984105A1509|54 61|fyuA gene
P08922390A0793|54 61|vinculin
P08149484A0151|54 61|PKC alpha
P09333026A0851|54 60|brk cDNA
P08350061A0209|54 60|CD8 gene
P10517675A0809|54 60|p21WAF1
P04239041T0045|54 59|ATPase
P09244430A0693|54 59|beta-3
P07761091A0294|54 58|MKP-1
P08622668A1155|54 58|U6 RNA
P10358079A0391|54 58|ErbB2
P09622055A0207|54 58|c-Cbl
P09649426A0636|54 58|Msn2p
P07937841A0790|54 57|Cip1
P08643633A1187|54 57|CBF1
P09858883A1106|54 57|N-A3
P09204570A0110|54 57|nmh7
P09852136A0174|54 57|p190
P08649372A0755|54 57|Swi6
P08585883A0381|54 57|CD-1
P09514159A0562|54 57|Ptx1
P09447963A0223|54 57|SC35
P00013683A0210|54 57|VCO2
P09582327A0295|54 57|GnRH
P11035037A0183|54 56|TBP
P03192950A0566|54 56|TSH
P03050147A0896|54 56|E1b
P07474617A1035|54 56|PRL
P07714608A1252|54 55|pH
P09808216A0000|54 55|EB
P01284595A0102|54 54|Y
P08505340T0000|55 95|rat prostaglandin endoperoxide synthase 2 gene
P02182618A0168|55 86|chloramphenicol acetyltransferase
P09077437T0000|55 82|Escherichia coli RNA polymerase
P03780371A0792|55 77|cytochrome P-450PBc2 gene
P02850971A0180|55 75|VtHb amino acid sequence
P02403035A0621|55 75|mitochondrial fumarase
P07899581A0000|55 73|superoxide dismutase
P02939260A1553|55 72|43K and 42K T antigens
P09566876A0000|55 72|TATA binding protein
P09776360A1781|55 72|human NOS II promoter
P07811964A1252|55 71|DNA-binding domain
P09694860A0498|55 70|N-terminal region
P09990507A0000|55 69|ubiquitin ligase
P02711167A0818|55 69|serum pepsinogen
P09050867A0542|55 68|nuclear factor 1
P08086453T0000|55 67|human APEX gene
P01847665A1079|55 67|PDGF receptors
P01429596A1669|55 67|hemagglutinin
P10502216A0289|55 67|streptokinase
P09234743A0475|55 67|alpha-globin 3
P11102458A0000|55 66|neurobeachin
P09971806A1585|55 66|KSHV/Rta gene
P09151806A1125|55 66|mLAT pre-mRNA
P07737118A0317|55 65|LexA protein
P10523647A0000|55 65|bZIP protein
P01563343A0548|55 65|CAB promoter
P10022875A1265|55 64|PI 3-kinase
P08916960A1331|55 63|bcl-2 gene
P02229068A0156|55 62|env genes
P03025862A0860|55 62|ssd chain
P08463485T0000|55 62|oxytocin
P02153683A1579|55 61|ankyrin
P01644831A0824|55 60|NGFI-B
P03651840A0266|55 59|MAO-B
P09560390A0771|55 59|sum1+
P10650958A1315|55 59|c-myb
P08932385T0000|55 59|TCF11
P10733591A0146|55 59|actin
P08918934A0424|55 59|Nsplp
P06094591A0000|55 58|gp37
P07487067A0592|55 58|APS1
P02743981A0347|55 58|L11e
P09575217A0000|55 58|Jaks
P09038202A1951|55 58|REST
P07862141A0317|55 58|cAPK
P08810278A0682|55 57|ABL
P02648396A1033|55 57|ras
P01643943A0300|55 57|TFR
P08076631A0000|55 57|VDR
P11094066A1194|55 57|p27
P02838246A0225|55 56|T8
P09159111A0437|55 56|CD
P09821978A1255|55 56|MK
P07629163A0770|55 56|PH
P09187277A0118|55 56|V I
P00846559A0000|55 55|U
P11246887A0000|56 86|cholesteryl ester transfer protein
P02002051T0000|56 82|cAMP-dependent protein kinase
P11572467T0000|56 81|tissue plasminogen activator
P02113174A0064|56 77|transcription factor Sp1
P10364163A0092|56 77|phosphatidylinositol(3
P07635312A0692|56 74|actin-binding domain
P09848653A0597|56 74|RNA-binding proteins
P08325883A0368|56 74|RNA recognition motif
P09115265A1160|56 72|DNA-binding domain
P07520098A0211|56 70|class I Db antigen
P06763897A0216|56 68|angiotensin II
P08769409A0114|56 67|RAR beta 2 gene
P02362803A0608|56 67|U3 snRNA genes
P09094315A0541|56 66|cyclin-Cdks
P07728201A0660|56 65|hemoglobin
P11435688A0262|56 65|N-terminus
P11223256A1212|56 64|33RNP gene
P07575438A1409|56 64|E1 element
P01956285A0000|56 63|bet genes
P08216115A0158|56 63|oxytocin
P11092850A1023|56 63|tuf genes
P09931118A1072|56 63|IL-1beta
P10826946A1198|56 63|human Igs
P08349632A0679|56 63|PSG12 psi
P08636149A0220|56 62|insulin
P07971709A0907|56 62|rhG-CSF
P09258439A1001|56 61|SsEF-2
P09858619A0356|56 61|ZAP-70
P09058323A1287|56 61|alpha 3
P09632637A0361|56 61|IGFIIR
P08416952A0956|56 61|nmt72p
P09372960A0456|56 60|Fal1p
P08824884A0000|56 60|FRAXE
P11160896A0713|56 60|MEF2A
P01845899A0000|56 60|Rep78
P10974541A0389|56 60|MZF1B
P02994336A0864|56 59|ACTH
P09368419A0000|56 59|rd22
P09840934A0435|56 59|Rafl
P11323411A0505|56 59|SHP2
P08921387A1182|56 59|EZH1
P11328853A0644|56 59|SF-1
P02164585A0814|56 59|traX
P10362652A1456|56 59|ERK2
P01310879A0000|56 58|HAT
P10756225A1464|56 58|CRS
P08563483A0094|56 58|hCG
P09058250A0128|56 58|NO2
P10068446A0124|56 58|PKC
P01321277A0342|56 58|ROS
P01874752A0948|56 58|p58
P09050849A1459|56 58|ARF
P09169593T0000|56 58|MEK
P09426143A1358|56 58|CRP
P08112870A0484|56 58|SOD
P02928376A0312|56 57|H2
P09837933T0000|57 99|peptidylglycine alpha-amidating monooxygenase
P11223246A0359|57 86|retinoblastoma-binding proteins
P08952483A0207|57 83|hamster lysyl-tRNA synthetase
P09091125A0161|57 83|alkaline and acid phosphatases
P09590540A0513|57 80|N-terminal signal sequence
P10576545A0926|57 77|murine D1A gene promoter
P02144610A1306|57 77|T-cell nuclear proteins
P07961957A1565|57 75|HF-1a-related factor
P06495195A0536|57 75|alkaline phosphatase
P09376782A0328|57 75|hepatitis C virus (HCV
P08990397A1437|57 74|photosystem I mutant
P09032275A1133|57 74|AHC deletion mutants
P10799879T0000|57 74|pleckstrin homology
P09463964A0243|57 74|monoclonal antibody
P08226616A0000|57 72|nitrate reductase
P08207795A0409|57 69|64-kDa protein
P11179272T0000|57 69|IgG antibodies
P09737453A0557|57 69|IgG antibodies
P09891061A0373|57 68|SpHE promoter
P07958920A1157|57 67|RNase MRP RNA
P09844106A0835|57 67|fibronectin
P08367487A1014|57 67|12S U2 snRNPs
P07753837A0724|57 67|plakoglobin
P02036066A0000|57 66|hemoglobin
P01826003A0694|57 65|SIG family
P02985820A1287|57 65|c-myc gene
P03332022A1094|57 64|c-raf(-1
P06869986A0000|57 64|collagen
P09806858T0000|57 64|rnaI gene
P09343398A1193|57 63|pcna-79
P09162084A0956|57 63|PECAM-1
P08649425A0373|57 62|DNase I
P09241232A0653|57 62|AP site
P08058326A0463|57 61|tal-1
P08415712A1153|57 61|GPRK6
P07652575A0435|57 61|Cdc42
P09234703A0192|57 61|Cdc42
P08692924A0328|57 61|BCL-6
P08108343A0000|57 60|GnRH
P11208814A0673|57 60|CKII
P09544987A1583|57 60|NCoR
P10805739A0640|57 60|eIF2
P10194451A0000|57 60|p210
P03423732A0341|57 60|HCO3
P09067577A0721|57 60|CRKL
P04038454A0984|57 59|RBP
P06181216A0070|57 59|IgA
P02312470A0774|57 59|Na+
P09202147A0866|57 59|UBC
P09605934A0801|57 59|USF
P09334331A0910|57 59|DER
P08401570A0828|57 59|Sp1
P08654983A0000|57 59|Srb
P11376279A0000|57 58|MR
P00837262A0000|57 58|SC
P08193147A0831|57 58|Fd
P11376134A1506|58 88|transcription factor binding sites
P10652228A0759|58 85|Rho family GTP-binding proteins
P10857262A0186|58 83|D. melanogaster type A protein
P06585277A0000|58 81|prostatic acid phosphatase
P08126096A0478|58 80|alpha 7 cytoplasmic domain
P07774807A0405|58 77|tissue-specific genes
P11125872A0133|58 76|phosphodiesterase IV
P03540853A0652|58 75|DNA binding proteins
P08833653A0304|58 74|rat amylin promoter
P04371279T0000|58 71|botulinum toxin
P10900129A0138|58 71|CYP3A sequences
P10096573A0207|58 70|nuclear factor
P11158295A0158|58 69|Src homology 3
P08817323A0714|58 69|DXS6673E gene
P09020856A0560|58 68|MCK promoter
P01552853A1377|58 67|yop regulon
P07945330A0103|58 66|Rex-1 gene
P09755199A0559|58 66|mbt repeat
P09581775A0185|58 66|NF-kappaB
P08593813A0967|58 65|Sp1 mRNAs
P07812450A0849|58 65|nspC gene
P01997465A0276|58 65|collagen
P08289834A0341|58 64|activin
P01939878A0765|58 63|casein
P11687180A3209|58 63|rHu EPO
P08763925A0588|58 63|c-gvpE
P08182041A1067|58 62|PEPCK
P08264591A1190|58 62|TFIIB
P09199328T0000|58 62|Oct-1
P07943556A0694|58 62|Og4C3
P11137296A1216|58 62|PFK-B
P01532229A1264|58 62|HF-1a
P11119611A0428|58 62|LANA2
P09353304A0732|58 62|Tiam1
P02493644A0588|58 62|c-jun
P06685004A0000|58 61|SHBG
P09892017A2151|58 61|ELE1
P10805737T0000|58 61|eIF5
P01400217T0000|58 61|traF
P08971721A1314|58 61|HspA
P09545638A0330a|58 61|HMT1
P09545638A0330b|58 61|HMT1
P08872162A0884|58 61|CD4+
P11564893A1068|58 61|MGMT
P09254709T0000|58 61|CcpA
P10467004A0683|58 61|IBS1
P10611235A1927|58 61|MAPK
P08376397A0788|58 60|E2F
P01644821A1259|58 60|CAT
P11422757A0737|58 60|ACR
P07925282A0705|58 60|SRP
P11708761A1388|58 60|ACE
P08524272T0000|58 60|Jak
P10706887A1457|58 60|ALK
P07592658A0309|58 60|p65
P03743683A0000|58 59|PP
P07916983A0623|58 59|N1
